longitude,latitude,elevation_km,noise [nm],station
-1.62417,53.95817,0.233,2.05447060758475,HPK
1.25917,52.25033,0.054,11.225351071119077,BEDF
-2.88067,52.51833,0.429,0.3869901689360575,HLM1
-1.72467,53.4015,0.353,2.3724656457128743,LBWR
-1.93817,54.25333,0.41100000000000003,3.1637337856293173,CTON
-3.26683,54.31,0.22,10.0,AP12
-1.30767,52.7385,0.203,1.1225351071119078,CWF
-0.265,51.188,0.081,12.595051057813938,BRDL
-3.80267,51.06633,0.23,10.0,HEX
-5.65267,57.33917,0.013000000000000001,0.5626002649829112,KPL
-3.10483,54.58867,0.281,0.3982904858880513,KESW
-3.5975,56.8195,0.39,3.6534227799981163,PITL
-1.83183,54.5525,0.156,3.6534227799981163,WINS
-4.04383,56.42733,0.279,0.0613338084296134,INVG
-2.17167,49.18783,0.039,1.1890494938505762,JSA
0.33633,50.86733,0.026000000000000002,8.916613300482346,HMNX
-4.49867,53.4005,0.025,10.0,WPS
-2.61417,55.9175,0.337,3.7601046512381964,ESY
-2.4865,56.91267,0.20800000000000002,3.982904858880513,DRUM
-1.17783,60.136,0.098,10.0,LRW
-2.75183,54.43683,0.389,10.0,AQ12
-4.5595,57.101,0.663,3.2561164800725186,GVIE
-0.81567,54.42183,0.228,2.7396805869638703,GDLE
-5.22767,50.18667,0.21,0.6496806505837811,CCA1
-0.66133,54.12383,0.181,0.8916613300482348,AU08
-2.1625,51.77583,0.2,3.2561164800725186,STRD
-4.39667,53.28933,0.058,10.0,WLF1
-4.48483,50.99434,0.08600000000000001,0.43421011117969066,HTL
-0.326,53.45683,0.146,14.544538057807438,LMK
-5.197,58.147,0.058,0.47336912964492056,LINV
-3.931,50.43533,0.292,0.7082717702691198,DYA
-3.1875,55.92333,0.125,3.351196797897104,EDI
-0.80967,51.72183,0.212,5.790284893201373,SKP
0.9895,52.09333,0.074,1.373092934402764,ELMS
-6.96583,62.0685,0.0,5.16059684312738,SOFL
-4.56617,54.2605,0.188,0.47336912964492056,IOMK
-5.399,56.26,0.137,0.3256116480072519,LAWE
-4.48367,55.8115,0.199,1.540635611871536,PGB1
-2.99833,51.99733,0.219,0.45993867777673253,MCH1
-2.55017,51.6605,0.006,10.0,OLDB
-4.33733,56.18867,0.279,0.37601046512381964,EAB
-2.80417,51.83916,0.145,1.373092934402764,MONM
-3.25417,57.58283,0.293,0.7082717702691198,MCD
-3.20517,55.3165,0.261,0.2902016867537383,ESK
-1.80033,51.51317,0.192,3.44905351112798,SWN1
-1.96217,54.83117,0.337,1.0597414768817817,EDMD
0.62833,52.72433,0.062,1.7790982495602705,WACR
-4.74483,51.95284,0.278,2.513043073076506,RSBS
1.13483,51.14817,0.129,2.3724656457128743,ELSH
-2.8725,57.16083,0.32,10.0,TARL
-4.23,55.11733,0.151,1.6319240110157176,NEWG
-4.71133,54.86633,0.117,0.3549767691974705,GAL1
-2.20617,53.09133,0.234,10.0,STNC
-6.1105,55.08283,0.23900000000000002,0.6312478797060007,CLGH
-3.91017,58.49317,0.07,0.28196807044475564,BIGH
-3.19983,52.8895,0.447,0.28196807044475564,FOEL
